title,description,subject,date,source,format,language,type,rights,rightsstatement,cdm_url,cdmid,objectid,reference_url,display_template,filename,object_location,image_small,image_thumb,errors
The Idaho Forester - 1954 (Vol. 36),,forest regeneration; forest thinning; game animals; habitat conservation; timber management,1954,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2333,2333,forester2333,http://localhost:4000/digital/forester/items/.html,pdf,forester2333.pdf,https://objects.lib.uidaho.edu/forester/forester2333.pdf,https://objects.lib.uidaho.edu/forester/small/forester2333_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2333_th.jpg,
The Idaho Forester - 1955 (Vol. 37),,forest regeneration; foresters; USDA Forest Service,1955,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2406,2406,forester2406,http://localhost:4000/digital/forester/items/.html,pdf,forester2406.pdf,https://objects.lib.uidaho.edu/forester/forester2406.pdf,https://objects.lib.uidaho.edu/forester/small/forester2406_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2406_th.jpg,
The Idaho Forester - 1956 (Vol. 38),,foresters; logging; Thailand,1956,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2467,2467,forester2467,http://localhost:4000/digital/forester/items/.html,pdf,forester2467.pdf,https://objects.lib.uidaho.edu/forester/forester2467.pdf,https://objects.lib.uidaho.edu/forester/small/forester2467_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2467_th.jpg,
The Idaho Forester - 1957 (Vol. 39),,foresters,1957,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2536,2536,forester2536,http://localhost:4000/digital/forester/items/.html,pdf,forester2536.pdf,https://objects.lib.uidaho.edu/forester/forester2536.pdf,https://objects.lib.uidaho.edu/forester/small/forester2536_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2536_th.jpg,
The Idaho Forester - 1958 (Vol. 40),,foresters,1958,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2621,2621,forester2621,http://localhost:4000/digital/forester/items/.html,pdf,forester2621.pdf,https://objects.lib.uidaho.edu/forester/forester2621.pdf,https://objects.lib.uidaho.edu/forester/small/forester2621_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2621_th.jpg,
The Idaho Forester - 1959 (Vol. 41),,foresters,1959,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2706,2706,forester2706,http://localhost:4000/digital/forester/items/.html,pdf,forester2706.pdf,https://objects.lib.uidaho.edu/forester/forester2706.pdf,https://objects.lib.uidaho.edu/forester/small/forester2706_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2706_th.jpg,
The Idaho Forester - 1960 (Vol. 42),,forest recreation; foresters; land use,1960,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2775,2775,forester2775,http://localhost:4000/digital/forester/items/.html,pdf,forester2775.pdf,https://objects.lib.uidaho.edu/forester/forester2775.pdf,https://objects.lib.uidaho.edu/forester/small/forester2775_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2775_th.jpg,
The Idaho Forester - 1961 (Vol. 43),,forest management; foresters; range management; wildlife management,1961,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2844,2844,forester2844,http://localhost:4000/digital/forester/items/.html,pdf,forester2844.pdf,https://objects.lib.uidaho.edu/forester/forester2844.pdf,https://objects.lib.uidaho.edu/forester/small/forester2844_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2844_th.jpg,
The Idaho Forester - 1962 (Vol. 44),,foresters,1962,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2905,2905,forester2905,http://localhost:4000/digital/forester/items/.html,pdf,forester2905.pdf,https://objects.lib.uidaho.edu/forester/forester2905.pdf,https://objects.lib.uidaho.edu/forester/small/forester2905_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2905_th.jpg,
The Idaho Forester - 1963 (Vol. 45),,agricultural experiment stations; foresters,1963,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/2958,2958,forester2958,http://localhost:4000/digital/forester/items/.html,pdf,forester2958.pdf,https://objects.lib.uidaho.edu/forester/forester2958.pdf,https://objects.lib.uidaho.edu/forester/small/forester2958_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester2958_th.jpg,
The Idaho Forester - 1964 (Vol. 46),,fisheries; foresters; land management; Puma concolor,1964,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3015,3015,forester3015,http://localhost:4000/digital/forester/items/.html,pdf,forester3015.pdf,https://objects.lib.uidaho.edu/forester/forester3015.pdf,https://objects.lib.uidaho.edu/forester/small/forester3015_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3015_th.jpg,
The Idaho Forester - 1965 (Vol. 47),,Cedrus; forest-wildlife relations; forest management; foresters; forestry; land management; logging; wildlife management,1965,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3076,3076,forester3076,http://localhost:4000/digital/forester/items/.html,pdf,forester3076.pdf,https://objects.lib.uidaho.edu/forester/forester3076.pdf,https://objects.lib.uidaho.edu/forester/small/forester3076_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3076_th.jpg,
The Idaho Forester - 1966 (Vol. 48),,forestry; outdoor recreation,1966,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3121,3121,forester3121,http://localhost:4000/digital/forester/items/.html,pdf,forester3121.pdf,https://objects.lib.uidaho.edu/forester/forester3121.pdf,https://objects.lib.uidaho.edu/forester/small/forester3121_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3121_th.jpg,
The Idaho Forester - 1967 (Vol. 49),,experimental forests; fisheries; foresters; forestry; land use,1967,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3170,3170,forester3170,http://localhost:4000/digital/forester/items/.html,pdf,forester3170.pdf,https://objects.lib.uidaho.edu/forester/forester3170.pdf,https://objects.lib.uidaho.edu/forester/small/forester3170_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3170_th.jpg,
The Idaho Forester - 1969 (Vol. 50),,air pollution; Chile; Costa Rica; forestry; logging; national parks; private sector; range management; Strix,1969,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3211,3211,forester3211,http://localhost:4000/digital/forester/items/.html,pdf,forester3211.pdf,https://objects.lib.uidaho.edu/forester/forester3211.pdf,https://objects.lib.uidaho.edu/forester/small/forester3211_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3211_th.jpg,
The Idaho Forester - 1930 (Vol. 12),,forest pests; foresters; land use; Pinus; Populus,1930,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3282,3282,forester3282,http://localhost:4000/digital/forester/items/.html,pdf,forester3282.pdf,https://objects.lib.uidaho.edu/forester/forester3282.pdf,https://objects.lib.uidaho.edu/forester/small/forester3282_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3282_th.jpg,
The Idaho Forester - 1970 (Vol. 51),,blister rust; dams (hydrology); forest management; human-wildlife relations; natural resources conservation; New Zealand; Pinus monticola; range management; springs (water); tree breeding,1970,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3319,3319,forester3319,http://localhost:4000/digital/forester/items/.html,pdf,forester3319.pdf,https://objects.lib.uidaho.edu/forester/forester3319.pdf,https://objects.lib.uidaho.edu/forester/small/forester3319_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3319_th.jpg,
The Idaho Forester - 1971 (Vol. 52),,air pollution; Chile; elks; forest fire management; forestry; Lynx rufus; Oncorhynchus mykiss; pollution control; range management; sheep; Thuja plicata; water quality,1971,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3356,3356,forester3356,http://localhost:4000/digital/forester/items/.html,pdf,forester3356.pdf,https://objects.lib.uidaho.edu/forester/forester3356.pdf,https://objects.lib.uidaho.edu/forester/small/forester3356_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3356_th.jpg,
The Idaho Forester - 1972 (Vol. 53),,elks; fisheries; forestry; logging; lumber; national forests; Taeniatherum caput-medusae; timber management,1972,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3397,3397,forester3397,http://localhost:4000/digital/forester/items/.html,pdf,forester3397.pdf,https://objects.lib.uidaho.edu/forester/forester3397.pdf,https://objects.lib.uidaho.edu/forester/small/forester3397_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3397_th.jpg,
The Idaho Forester - 1974 (Vol. 55),,elks; environmental law; fish industry; fish meat; foresters; industrial wastes; land management; land use; logging; range management; remote sensing; wildlife management,1974,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3450,3450,forester3450,http://localhost:4000/digital/forester/items/.html,pdf,forester3450.pdf,https://objects.lib.uidaho.edu/forester/forester3450.pdf,https://objects.lib.uidaho.edu/forester/small/forester3450_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3450_th.jpg,
The Idaho Forester - 1975 (Vol. 56),,forestry; human-wildlife relations; income; land management; land restoration; models; predators; sediments; USDA Forest Service; waste wood; women in agriculture,1975,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3503,3503,forester3503,http://localhost:4000/digital/forester/items/.html,pdf,forester3503.pdf,https://objects.lib.uidaho.edu/forester/forester3503.pdf,https://objects.lib.uidaho.edu/forester/small/forester3503_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3503_th.jpg,
The Idaho Forester - 1976 (Vol. 57),,elks; environmental impact statements; foresters; forestry; fuelwood; Grus canadensis; remote sensing; tree farms; Ursus americanus,1976,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3556,3556,forester3556,http://localhost:4000/digital/forester/items/.html,pdf,forester3556.pdf,https://objects.lib.uidaho.edu/forester/forester3556.pdf,https://objects.lib.uidaho.edu/forester/small/forester3556_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3556_th.jpg,
The Idaho Forester - 1977 (Vol. 58),,aquatic organisms; birds; ethics; flow; logging; logging equipment; natural resources conservation; Pinus monticola; Populus tremuloides; wildlife management,1977,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3629,3629,forester3629,http://localhost:4000/digital/forester/items/.html,pdf,forester3629.pdf,https://objects.lib.uidaho.edu/forester/forester3629.pdf,https://objects.lib.uidaho.edu/forester/small/forester3629_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3629_th.jpg,
The Idaho Forester - 1978 (Vol. 59),,conservation programs; ducks; experimental forests; foresters; logging; lumber; mushrooms; remote sensing; Strigiformes; trails; women in agriculture,1978,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3686,3686,forester3686,http://localhost:4000/digital/forester/items/.html,pdf,forester3686.pdf,https://objects.lib.uidaho.edu/forester/forester3686.pdf,https://objects.lib.uidaho.edu/forester/small/forester3686_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3686_th.jpg,
The Idaho Forester - 1979 (Vol. 60),,community forestry; conservation programs; endangered species; forestry; Honduras; human-wildlife relations; migratory behavior; outdoor recreation; Phlox; Salmonidae; spawning,1979,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3775,3775,forester3775,http://localhost:4000/digital/forester/items/.html,pdf,forester3775.pdf,https://objects.lib.uidaho.edu/forester/forester3775.pdf,https://objects.lib.uidaho.edu/forester/small/forester3775_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3775_th.jpg,
The Idaho Forester - 1980 (Vol. 61),,China; fisheries; forest fire management; land management; logging; natural resource policy; USDA Forest Service,1980,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3848,3848,forester3848,http://localhost:4000/digital/forester/items/.html,pdf,forester3848.pdf,https://objects.lib.uidaho.edu/forester/forester3848.pdf,https://objects.lib.uidaho.edu/forester/small/forester3848_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3848_th.jpg,
The Idaho Forester - 1981 (Vol. 62),,China; fisheries; forest fire management; fuelwood; giardiasis; land management; land use; reforestation; seedlings; trees; volcanic activity,1981,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3921,3921,forester3921,http://localhost:4000/digital/forester/items/.html,pdf,forester3921.pdf,https://objects.lib.uidaho.edu/forester/forester3921.pdf,https://objects.lib.uidaho.edu/forester/small/forester3921_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3921_th.jpg,
The Idaho Forester - 1982 (Vol. 63),,air pollution; birds; edible insects; Micropterus salmoides; natural resource management; outdoor recreation; rangelands; social sciences; sport hunting,1982,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/3986,3986,forester3986,http://localhost:4000/digital/forester/items/.html,pdf,forester3986.pdf,https://objects.lib.uidaho.edu/forester/forester3986.pdf,https://objects.lib.uidaho.edu/forester/small/forester3986_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester3986_th.jpg,
The Idaho Forester - 1983 (Vol. 64),,birds; forest products industry; fish; forage; foresters; integrated pest management; logging; Lynx rufus; natural resources conservation; predator control; Rangifer tarandus; trout; wildlife,1983,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4055,4055,forester4055,http://localhost:4000/digital/forester/items/.html,pdf,forester4055.pdf,https://objects.lib.uidaho.edu/forester/forester4055.pdf,https://objects.lib.uidaho.edu/forester/small/forester4055_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4055_th.jpg,
The Idaho Forester - 1984 (Vol. 65),,experimental forests; fisheries; forest products industry; India; logging; outdoor recreation; pulp and paper industry; range management; wildlife,1984,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4144,4144,forester4144,http://localhost:4000/digital/forester/items/.html,pdf,forester4144.pdf,https://objects.lib.uidaho.edu/forester/forester4144.pdf,https://objects.lib.uidaho.edu/forester/small/forester4144_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4144_th.jpg,
The Idaho Forester - 1985 (Vol. 66),,biodiversity; Burkina Faso; experimental forests; fisheries; forestry; national forests; natural resources conservation; range management; rivers; water policy; wildlife,1985,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4217,4217,forester4217,http://localhost:4000/digital/forester/items/.html,pdf,forester4217.pdf,https://objects.lib.uidaho.edu/forester/forester4217.pdf,https://objects.lib.uidaho.edu/forester/small/forester4217_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4217_th.jpg,
The Idaho Forester - 1986 (Vol. 67),,fisheries; forest products industry; foresters; land use; Leopardus pardalis; rangelands,1986,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4282,4282,forester4282,http://localhost:4000/digital/forester/items/.html,pdf,forester4282.pdf,https://objects.lib.uidaho.edu/forester/forester4282.pdf,https://objects.lib.uidaho.edu/forester/small/forester4282_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4282_th.jpg,
The Idaho Forester - 1987 (Vol. 68),,forest nurseries; Oncorhynchus mykiss; outdoor recreation; range management; sport fishing; tourism; wildlife,1987,"University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/",application/pdf,eng,Text,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,http://digital.lib.uidaho.edu:80/cdm/ref/collection/forester/id/4351,4351,forester4351,http://localhost:4000/digital/forester/items/.html,pdf,forester4351.pdf,https://objects.lib.uidaho.edu/forester/forester4351.pdf,https://objects.lib.uidaho.edu/forester/small/forester4351_sm.jpg,https://objects.lib.uidaho.edu/forester/thumbs/forester4351_th.jpg,
