objectid,title,date,archival_date,president,commencement_address,guest_speakers,location,latitude,longitude,source,identifier,type,format,format_original,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb,cdmid
commencement046,University of Idaho and Naval Training School Commencement,1943-05-31,31 May 1943,"Dale, Harrison Clifford","Dale, Harrison Clifford",,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1943,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,commencement-1943.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1943.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1943_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1943_sm.jpg,1144
commencement047,University of Idaho Forty-ninth Commencement,1944-05-29,29 May 1944,"Dale, Harrison Clifford","Messenger, James Franklin",,Memorial Armory-Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1944,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,commencement-1944.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1944.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1944_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1944_sm.jpg,1182
commencement048,University of Idaho Fiftieth Commencement,1945-06-04,04 June 1945,"Dale, Harrison Clifford","Wells, Richard H.",,Memorial Armory-Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1945-06-4,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1945-06-4.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1945-06-4.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1945-06-4_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1945-06-4_sm.jpg,1065
commencement049,University of Idaho Fifty-first Commencement,1946-06-03,03 June 1946,"Dale, Harrison Clifford","Ghormley, Robert Lee",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1946-06-03,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1946-06-03.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1946-06-03.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1946-06-03_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1946-06-03_sm.jpg,1135
commencement050,University of Idaho Fifty-second Commencement,1947-06-02,02 June 1947,"Buchanan, Jesse Everett","Royall, Kenneth Claiborne",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1947-06-02,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1947-06-02.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1947-06-02.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1947-06-02_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1947-06-02_sm.jpg,1205
commencement051,University of Idaho Baccalaureate Services Fifty-Third Commencement,1948-05-30,30 May 1948,"Buchanan, Jesse Everett",,,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1948-05-30,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1948-05-30.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1948-05-30.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-30_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-30_sm.jpg,1208
commencement052,University of Idaho Fifty-third Commencement,1948-05-31,31 May 1948,"Buchanan, Jesse Everett","Sproul, Robert Gordon",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1948-05-31,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1948-05-31.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1948-05-31.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-31_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1948-05-31_sm.jpg,1072
commencement053,University of Idaho Baccalaureate Services Fifty-Fourth Commencement,1949-05-29,29 May 1949,"Buchanan, Jesse Everett",,,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1949-05-29,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1949-05-29.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1949-05-29.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-29_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-29_sm.jpg,1158
commencement054,University of Idaho Fifty-fourth Commencement,1949-05-30,30 May 1949,"Buchanan, Jesse Everett","Williams, W. Walter",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1949-05-30,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1949-05-30.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1949-05-30.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-30_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1949-05-30_sm.jpg,1218
commencement055,University of Idaho Fifty-Fifth Commencement,1950-06-05,05 June 1950,"Buchanan, Jesse Everett","Hoyt, Edwin Palmer",,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1950,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,commencement-1950.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1950.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1950_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1950_sm.jpg,1071
commencement056,Commencement and Baccalaurate Addresses,1950-06-05,05 June 1950,,"Hoyt, Palmer",,,,,University of Idaho Library Special Collections and Archives,uicommencement-1950-06-05,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1950-06-05.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1950-06-05.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1950-06-05_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1950-06-05_sm.jpg,1181
commencement057,University of Idaho Fifty-Sixth Commencement,1951-06-04,04 June 1951,"Buchanan, Jesse Everett","Davis, Howard Pierce",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1951-06-04,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1951-06-04.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1951-06-04.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1951-06-04_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1951-06-04_sm.jpg,1197
commencement058,University of Idaho Fifty-Seventh Commencement,1952-06-09,09 June 1952,"Buchanan, Jesse Everett","French, C. Clement",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1952-06-09,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1952-06-09.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1952-06-09.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1952-06-09_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1952-06-09_sm.jpg,1061
commencement059,University of Idaho Fifty-Eighth Commencement,1953-06-07,07 June 1953,"Buchanan, Jesse E.",,,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement_1953-06-07,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement_1953-06-07.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement_1953-06-07.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement_1953-06-07_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement_1953-06-07_sm.jpg,1089
commencement060,University of Idaho Fifty-Ninth Commencement,1954-06-06,06 June 1954,"Buchanan, Jesse Everett",,,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1954-06-06,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1954-06-06.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1954-06-06.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1954-06-06_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1954-06-06_sm.jpg,1177
commencement061,University of Idaho Sixtieth Commencement,1955-06-05,05 June 1955,"Theophilus, Donald Richard",,,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1955-06-05,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1955-06-05.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1955-06-05.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1955-06-05_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1955-06-05_sm.jpg,1200
commencement062,University of Idaho Sixty-First Commencement,1956-06-10,10 June 1956,"Theophilus, Donald Richard",,,University Auditorium,46.724869,-117.010698,University of Idaho Library Special Collections and Archives,uicommencement-1956-06-10,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1956-06-10.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1956-06-10.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1956-06-10_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1956-06-10_sm.jpg,1058
commencement063,Sixty-Second Commencement,1957-06-09,09 June 1957,"Theophilus, Donald Richard",,,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1957,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,commencement-1957.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1957.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1957_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1957_sm.jpg,1063
commencement064,University of Idaho Sixty-Second Commencement Degrees Conferred,1957-06-09,09 June 1957,"Theophilus, Donald Richard",,,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1957-06-09,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1957-06-09.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1957-06-09.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1957-06-09_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1957-06-09_sm.jpg,1166
commencement065,University of Idaho Sixty-Third Commencement Degrees Conferred,1958-06-08,08 June 1958,"Theophilus, Donald R.",,,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,degrees_conferred-1958,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,degrees_conferred-1958.pdf,pdf,https://objects.lib.uidaho.edu/commencement/degrees_conferred-1958.pdf,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1958_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1958_sm.jpg,1114
commencement066,University of Idaho Sixty-Third Commencement,1958-06-08,08 June 1958,"Theophilus, Donald Richard",,,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1958-06-08,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1958-06-08.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1958-06-08.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1958-06-08_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1958-06-08_sm.jpg,1183
commencement067,University of Idaho Sixty-Fourth Commencement,1959-06-07,07 June 1959,"Theophilus, Donald Richard",,,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1959,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,commencement-1959.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1959.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1959_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1959_sm.jpg,1185
commencement068,University of Idaho Sixty-Fourth Commencement Degrees Conferred,1959-06-07,07 June 1959,"Theophilus, Donald R.",,,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,degrees_conferred-1959,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,degrees_conferred-1959.pdf,pdf,https://objects.lib.uidaho.edu/commencement/degrees_conferred-1959.pdf,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1959_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1959_sm.jpg,1211
commencement069,University of Idaho Sixty-Fifth Commencement,1960-06-05,05 June 1960,"Theophilus, Donald Richard","Lindley, Ernest K.",,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,commencement-1960,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,commencement-1960.pdf,pdf,https://objects.lib.uidaho.edu/commencement/commencement-1960.pdf,https://objects.lib.uidaho.edu/commencement/small/commencement-1960_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/commencement-1960_sm.jpg,1074
commencement070,University of Idaho Sixty-Fifth Commencement Degrees Conferred,1960-06-05,05 June 1960,"Theophilus, Donald R.",,,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,degrees_conferred-1960,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,degrees_conferred-1960.pdf,pdf,https://objects.lib.uidaho.edu/commencement/degrees_conferred-1960.pdf,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1960_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1960_sm.jpg,1075
commencement071,University of Idaho Sixty-Sixth Commencement,1961-06-11,11 June 1961,"Theophilus, Donald Richard","Walker, Donald E.",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1961-06-11,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1961-06-11.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1961-06-11.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1961-06-11_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1961-06-11_sm.jpg,1154
commencement072,University of Idaho Sixty-Seventh Commencement,1962-06-10,10 June 1962,"Theophilus, Donald Richard","Theophilus, Donald Richard",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1962-06-10,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1962-06-10.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1962-06-10.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1962-06-10_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1962-06-10_sm.jpg,1215
commencement073,University of Idaho Sixty-Eighth Commencement,1963-06-09,09 June 1963,"Theophilus, Donald Richard","Smylie, Robert E.",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1963-06-09,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1963-06-09.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1963-06-09.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1963-06-09_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1963-06-09_sm.jpg,1123
commencement074,University of Idaho Sixty-Ninth Commencement Candidates for Degree,1964-06-14,14 June 1964,"Theophilus, Donald Richard","Hansberger, R. V.",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1964-06-14,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1964-06-14.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1964-06-14.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1964-06-14_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1964-06-14_sm.jpg,1138
commencement075,University of Idaho 70th Commencement Candidates for Degrees,1965-06-13,13 June 1965,"Theophilus, Donald Richard","Theophilus, Donald Richard",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1965-06-13,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1965-06-13.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1965-06-13.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1965-06-13_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1965-06-13_sm.jpg,1082
commencement076,University of Idaho 71st Commencement Degrees Conferred,1966-06-12,12 June 1966,"Hartung, Dr. Ernest W.","Hartung, Dr. Ernest W.",,Memorial Gymnasium,46.72652,-117.013316,University of Idaho Library Special Collections and Archives,degrees_conferred-1966,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,degrees_conferred-1966.pdf,pdf,https://objects.lib.uidaho.edu/commencement/degrees_conferred-1966.pdf,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1966_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/degrees_conferred-1966_sm.jpg,1130
commencement077,University of Idaho 71st Commencement Candidates for Degrees,1966-06-12,12 June 1966,"Hartung, Dr. Ernest W.","Hartung, Dr. Ernest W.",,Memorial Gymnasium,46.72656074,-117.0139126,University of Idaho Library Special Collections and Archives,uicommencement-1966-06-12,Text,application/pdf,commencement program,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,uicommencement-1966-06-12.pdf,pdf,https://objects.lib.uidaho.edu/commencement/uicommencement-1966-06-12.pdf,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1966-06-12_sm.jpg,https://objects.lib.uidaho.edu/commencement/small/uicommencement-1966-06-12_sm.jpg,1204
