title,description,date,date_is_approximate,subject,campus_event,event_category,campus_organization,latitude,longitude,donor,publisher-digital,source,identifier,rights,rightsstatement,format_original,type,format,language,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
Delta Gamma float at Homecoming game,The Delta Gamma winning women's float stands on display during the Homecoming Football game. The text on the float reads 'It's in the Bag'.,1951,yes,parades; sororities,homecoming,homecoming,delta gamma,46.726624,-117.017173,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-034,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/396,396,pg2396,image,pg2396.jpg,https://objects.lib.uidaho.edu/pg2/pg2396.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2396_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2396_th.jpg,
Homecoming queen Leah Jensen,"Homecoming queen Leah Jensen holds a bouquet on a dais. Pictured in front of the dais from left to right: Jackie Taylor, Betty Westerberg, Barbara Thurston, Shirlie Vorous, Governor Len Jordan, Larry Pugh (Alumni President), and Hyde Jacobs, ASUI student body president.",1951,yes,group portraits,homecoming,pageants,,46.725978,-117.017867,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-035a,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/397,397,pg2397,image,pg2397.jpg,https://objects.lib.uidaho.edu/pg2/pg2397.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2397_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2397_th.jpg,
Governor Len Jordan gives Homecoming queen Leah Jensen traditional kiss,Governor Len Jordan gives newly crowned Homecoming queen Leah Jensen the traditional kiss during the Homecoming game.,1951,yes,double portraits,homecoming,pageants,,46.726027,-117.01758,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-035b,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/398,398,pg2398,image,pg2398.jpg,https://objects.lib.uidaho.edu/pg2/pg2398.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2398_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2398_th.jpg,
Governor Len Jordan addresses crowd at Idaho/WSC game,Governor Len Jordan and Homecoming Queen Leah Jensen stand before the crowd at the Idaho/WSC Homecoming game.,1951,yes,double portraits,homecoming,pageants,,46.726071,-117.018048,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-035c,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/399,399,pg2399,image,pg2399.jpg,https://objects.lib.uidaho.edu/pg2/pg2399.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2399_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2399_th.jpg,
Band playing on football field,The Vandal Marching Band plays on the football field from a block formation.,1937,yes,bands (ensembles),,music,marching band,46.725792,-117.012326,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5.75x3.5 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/400,400,pg2400,image,pg2400.jpg,https://objects.lib.uidaho.edu/pg2/pg2400.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2400_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2400_th.jpg,
Military Band formal photograph [01],The University of Idaho Military Band poses for a photograph in convert formation in the Administration Auditorium.,1930,yes,bands (ensembles); concerts,,music,military band,46.725922,-117.011373,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-002,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x7 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/401,401,pg2401,image,pg2401.jpg,https://objects.lib.uidaho.edu/pg2/pg2401.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2401_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2401_th.jpg,
Military Band formal photograph [02],The University of Idaho Military Band poses for a photograph in the Administration Auditorium.,1937,yes,bands (ensembles); concerts,,music,military band,46.725615,-117.008051,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white film negative,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/402,402,pg2402,image,pg2402.jpg,https://objects.lib.uidaho.edu/pg2/pg2402.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2402_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2402_th.jpg,
Military Band,The University of Idaho Military Band rehearses in block formation near the football field.,1936,yes,bands (ensembles),,music,military band,46.725756,-117.008079,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-004,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/403,403,pg2403,image,pg2403.jpg,https://objects.lib.uidaho.edu/pg2/pg2403.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2403_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2403_th.jpg,
Marching band at football game [02],The Vandal Marching Band performs during halftime at a football game.,1948,yes,bands (ensembles); games,football game,music,marching band,46.72604,-117.017743,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,7x5 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/404,404,pg2404,image,pg2404.jpg,https://objects.lib.uidaho.edu/pg2/pg2404.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2404_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2404_th.jpg,
Marching band at football game [03],The Vandal Marching Band is caught in a marching set during the halftime performance at a football game.,1955,yes,bands (ensembles); games,football game,music,marching band,46.726606,-117.017996,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-007,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,8x10 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/405,405,pg2405,image,pg2405.jpg,https://objects.lib.uidaho.edu/pg2/pg2405.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2405_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2405_th.jpg,
Marching band at football game [01],"The Vandal Marching Band performs during halftime, creating the signature outline of the state of Idaho on the football field.",1960,yes,bands (ensembles); games,football game,music,marching band,46.72593,-117.017336,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-005,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/406,406,pg2406,image,pg2406.jpg,https://objects.lib.uidaho.edu/pg2/pg2406.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2406_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2406_th.jpg,
Marching band at football game [04],The Vandal Marching Band outlines a martini glass as part of their halftime performance during a football game against WSU.,1960,yes,bands (ensembles); games,football game,music,marching band,46.726628,-117.017534,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-008,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/407,407,pg2407,image,pg2407.jpg,https://objects.lib.uidaho.edu/pg2/pg2407.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2407_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2407_th.jpg,
Marching band at football game [05],The Vandal Marching Band creates the traditional outline of a capital I during their halftime performance.,1960,yes,bands (ensembles); ball games,football game,music,marching band,46.726562,-117.017222,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-009,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/408,408,pg2408,image,pg2408.jpg,https://objects.lib.uidaho.edu/pg2/pg2408.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2408_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2408_th.jpg,
Marching band performing at 'Dad's Day' football game,The Vandal Marching Band spells out 'DAD' on the football field for a Dad's Weekend football game.,1960,yes,bands (ensembles); ball games,football game,music,marching band,46.726231,-117.016945,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-010,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/409,409,pg2409,image,pg2409.jpg,https://objects.lib.uidaho.edu/pg2/pg2409.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2409_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2409_th.jpg,
University Concert Band [01],The University Concert Band sits for a group photo in their concert blacks.,1960,yes,bands (ensembles); concerts,,music,university concert band,46.725874,-117.011388,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-011,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/410,410,pg2410,image,pg2410.jpg,https://objects.lib.uidaho.edu/pg2/pg2410.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2410_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2410_th.jpg,
University Concert Band [02],The University Concert Band sit for a group photo in the Administration Auditorium.,1960,yes,bands (ensembles); concerts,,music,university concert band,46.725604,-117.008044,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-012,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/411,411,pg2411,image,pg2411.jpg,https://objects.lib.uidaho.edu/pg2/pg2411.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2411_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2411_th.jpg,
University Concert Band [03],The University Concert Band sits for a group photo in the Administration Auditorium.,1960,yes,bands (ensembles); concerts,homecoming,music,university concert band,46.725465,-117.007955,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-013,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/412,412,pg2412,image,pg2412.jpg,https://objects.lib.uidaho.edu/pg2/pg2412.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2412_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2412_th.jpg,
Marching band performing at halftime during Homecoming game [01],The Vandal Marching Band waits in the endzone for the University of Idaho Military Band to finish their halftime performance.,1960,yes,bands (ensembles); games,homecoming,music,marching band,46.726187,-117.017849,"University of Idaho. Photo Center. Literal, Arden.",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-015,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/413,413,pg2413,image,pg2413.jpg,https://objects.lib.uidaho.edu/pg2/pg2413.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2413_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2413_th.jpg,
Marching band performing at halftime during Homecoming game [02],The Vandal Marching Band performs from a block formation on the field. Other regional high school bands can be seen in the formation.,1960,yes,bands (ensembles); games,homecoming,music,marching band,46.726224,-117.018181,University of Idaho. Photo Center.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-016,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/414,414,pg2414,image,pg2414.jpg,https://objects.lib.uidaho.edu/pg2/pg2414.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2414_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2414_th.jpg,
University Concert Band [04],The University Concert Band sits for a group photo in the Administration Auditorium.,1960,yes,bands (ensembles); concerts,,music,university concert band,46.72546,-117.008039,University of Idaho. Publications Department.,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-014,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/415,415,pg2415,image,pg2415.jpg,https://objects.lib.uidaho.edu/pg2/pg2415.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2415_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2415_th.jpg,
Marching band marching onto field at Homecoming game,The Vandal Marching Band marches into the stadium behind the Drum Major and Majorettes.,1960,yes,bands (ensembles); games,homecoming,music,marching band,46.726599,-117.017889,"University of Idaho. Photo Center. Literal, Arden.",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-017,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/416,416,pg2416,image,pg2416.jpg,https://objects.lib.uidaho.edu/pg2/pg2416.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2416_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2416_th.jpg,
Marching band performing at halftime during Homecoming game [03],The regional high school bands join the Vandal Marching Band on the football field for the halftime performance during the Homecoming Game.,1960,yes,bands (ensembles); games,homecoming,music,marching band,46.725923,-117.018023,"University of Idaho. Photo Center. Literal, Arden.",University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-018,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/417,417,pg2417,image,pg2417.jpg,https://objects.lib.uidaho.edu/pg2/pg2417.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2417_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2417_th.jpg,
University Concert Band [05],The University Concert Band sits for a group photo wearing concert black in the Administration Auditorium.,1962,yes,bands (ensembles); concerts,,music,university concert band,46.725436,-117.007913,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-019,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/418,418,pg2418,image,pg2418.jpg,https://objects.lib.uidaho.edu/pg2/pg2418.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2418_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2418_th.jpg,
University Band,"The University Band sits for a formal portrait that was then featured in the Gem of the Mountains Yearbook for 1903. Back: Charles Reed, Frederick Ruble, Harlie Innis, H.C. Tilley, Norris Pollard, F.E. Montandon; center: C.E. Bolles, Anthony VanHarten, W.C. Turley, F.B. Costello, R.W. Fisher; front: J.H. Miller, G.E. Horton, A.K. Carlson",1903,yes,bands (ensembles); group portraits,,music,university band,46.724784,-117.010913,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-020,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/419,419,pg2419,image,pg2419.jpg,https://objects.lib.uidaho.edu/pg2/pg2419.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2419_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2419_th.jpg,
Sousaphone players playing on the football field during a football game,Three sousaphone players march in the halftime performance while cheerleaders encourage the team and crowd.,1960,yes,bands (ensembles),football game,music,marching band; football,46.725967,-117.017862,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",082-026,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/420,420,pg2420,image,pg2420.jpg,https://objects.lib.uidaho.edu/pg2/pg2420.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2420_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2420_th.jpg,
Idaho Institute of Christian Education breaking ground for construction of Campus Christian Center,Board members of the Idaho Institute of Christian Education break ground on the new Campus Christian Center.,1950,yes,groundbreakings; community centers; Christian religion building spaces,,religious organizations,idaho institute of christian education,46.727075,-117.007943,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",083-01,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,5x4 black and white film negative,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/421,421,pg2421,image,pg2421.jpg,https://objects.lib.uidaho.edu/pg2/pg2421.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2421_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2421_th.jpg,
"Interior view, Idaho Institute of Christian Education",The interior of the Idaho Institute of Christian Education is decorated with brass-studded leather chairs and upholstered couches.,1950,yes,community centers; Christian religion building spaces,,religious organizations,idaho institute of christian education,46.727322,-117.008091,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",083-02,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/422,422,pg2422,image,pg2422.jpg,https://objects.lib.uidaho.edu/pg2/pg2422.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2422_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2422_th.jpg,
Delta Tau Delta prize-winning float in the Homecoming parade,"The Delta Tau Delta float in the Homecoming parade depicts a replica of the commemorative 'Lewis and Clark Expedition, 1805 - 1955' postage stamp.",1956,yes,floats (vehicles); parades; fraternities,homecoming,parades,,46.730131,-117.001127,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-001,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/423,423,pg2423,image,pg2423.jpg,https://objects.lib.uidaho.edu/pg2/pg2423.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2423_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2423_th.jpg,
"Phi Gamma Delta 1st-place float, Homecoming","Phi Gamma Delta's first place float featured a scale with the caption 'Balance of Power' written on the arms, weighing an I and an O .",1955,yes,floats (vehicles); parades; fraternities,homecoming,parades,,46.730136,-117.000893,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-003,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/424,424,pg2424,image,pg2424.jpg,https://objects.lib.uidaho.edu/pg2/pg2424.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2424_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2424_th.jpg,
Unidentified float in the Homecoming parade,A viking ship with a dragon masthead and an eagle on its sail glides down Main Street in the Homecoming Parade.,1955,yes,floats (vehicles); parades,homecoming,parades,,46.73016,-117.001285,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-002,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/425,425,pg2425,image,pg2425.jpg,https://objects.lib.uidaho.edu/pg2/pg2425.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2425_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2425_th.jpg,
The Serpentine as part of the Homecoming Pajama Parade,"Students snake through downtown in their pajamas as part of the Serpentine, a Homecoming tradition at the University of Idaho.",1955,yes,processions; pajamas,homecoming,processions,,46.730182,-117.000904,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-004,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,10x8 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/426,426,pg2426,image,pg2426.jpg,https://objects.lib.uidaho.edu/pg2/pg2426.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2426_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2426_th.jpg,
Alpha Phi house decorations for Homecoming,"Alpha Phi's house decorations for Homecoming featured a growling dogs head banner with a banner that reads 'Come in, Alumni. This dog won't bite.'",1936,yes,decorations (ornaments); sorority houses,homecoming,greek life,spirit; alpha phi,46.729628,-117.007768,,University of Idaho Library Digital Initiatives Department,"PG 2, University of Idaho Student Organizations Collection",084-006,"No Copyright, material listed in Public Domain. Digital reproduction granted by the University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,3x4.5 black and white print,image;stillimage,image/jpeg,eng,http://digital.lib.uidaho.edu:80/cdm/ref/collection/pg2/id/427,427,pg2427,image,pg2427.jpg,https://objects.lib.uidaho.edu/pg2/pg2427.jpg,https://objects.lib.uidaho.edu/pg2/small/pg2427_sm.jpg,https://objects.lib.uidaho.edu/pg2/thumbs/pg2427_th.jpg,
